"entity","brand","updated_week_ending_date","forecast_channel","productline","producttype","productvariant","productform","shipment_sales","shipment_units","pos_sales","pos_units"
"The Gorilla Glue Company LLC","OKeeffes",2025-02-16,"MENARDS","Lip Balm","Lip Repair","Cooling","Tube",NA,NA,15.96,4
"The Gorilla Glue Company LLC","OKeeffes",2024-07-28,"MENARDS","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,80.29,7
"The Gorilla Glue Company LLC","OKeeffes",2024-12-15,"MENARDS","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-12-29,"MENARDS","Lip Balm","Lip Repair","Seal & Heal","Stick",NA,NA,NA,0
"The Gorilla Glue Company LLC","OKeeffes",2024-10-06,"MENARDS","Lip Balm","Lip Repair","Cooling","Tube",NA,NA,379.05,95
"The Gorilla Glue Company LLC","OKeeffes",2024-12-29,"MENARDS","Hand Soap","Working Hands","Orange","Pump",NA,NA,NA,0
"The Gorilla Glue Company LLC","OKeeffes",2025-03-23,"AMAZON CA","Foot Mask","Healthy Feet","Sock","Pouch",NA,NA,687.93,69
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"WALGREENS","Foot Cream","Healthy Feet","Original","Jar",NA,NA,7571,763
"The Gorilla Glue Company LLC","OKeeffes",2024-07-21,"WALGREENS","Hand Cream","Working Hands","Cuticle Repair","Jar",NA,NA,338,91
"The Gorilla Glue Company LLC","OKeeffes",2024-08-11,"WALGREENS","Foot Cream","Healthy Feet","Original","Tube",NA,NA,30,7
"The Gorilla Glue Company LLC","OKeeffes",2025-03-02,"WALGREENS","Foot Cream","Healthy Feet","Exfoliating","RSC",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2025-03-09,"WALGREENS","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Soap","Working Hands","Unscented","Pump",NA,NA,81.52,6
"The Gorilla Glue Company LLC","OKeeffes",2024-08-11,"AMAZON US","Multiple","Product","Combo","Jar",NA,NA,1192.32,72
"The Gorilla Glue Company LLC","OKeeffes",2024-07-07,"AMAZON US","Hand Soap","Working Hands","Unscented","Pump",NA,NA,251.8,10
"The Gorilla Glue Company LLC","OKeeffes",2024-08-25,"AMAZON US","Hand Soap","Working Hands","Unscented","Pump",NA,NA,27.92,2
"The Gorilla Glue Company LLC","OKeeffes",2024-08-18,"AMAZON US","Foot Cream","Healthy Feet","Original Balm","Stick",NA,NA,3774.73,277
"The Gorilla Glue Company LLC","OKeeffes",2025-03-16,"AMAZON US","Foot Cream","Healthy Feet","Night Treatment","Tube",NA,NA,11471.24,606
"The Gorilla Glue Company LLC","OKeeffes",2025-03-30,"AMAZON US","Lip Balm","Lip Repair","Combo","Stick",NA,NA,3930.07,249
"The Gorilla Glue Company LLC","OKeeffes",2025-04-06,"AMAZON US","Foot Mask","Healthy Feet","Sock","Pouch",NA,NA,1540.13,60
"The Gorilla Glue Company LLC","OKeeffes",2025-03-30,"AMAZON US","Hand Cream","Working Hands","Combo","Tube",NA,NA,6334.76,220
"The Gorilla Glue Company LLC","OKeeffes",2025-05-25,"AMAZON US","Body Cream","Skin Repair","Original","Pump",NA,NA,532.8,31
"The Gorilla Glue Company LLC","OKeeffes",2025-05-25,"AMAZON US","Lip Balm","Lip Repair","Combo","4 Pack",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-09-15,"AMAZON CA","Foot Cream","Healthy Feet","Night Treatment","Tube",NA,NA,1668.13,96
"The Gorilla Glue Company LLC","OKeeffes",2024-09-15,"AMAZON CA","Hand Cream","Working Hands","Combo","Tube",NA,NA,231.71,29
"The Gorilla Glue Company LLC","OKeeffes",2024-12-01,"AMAZON CA","Foot Cream","Healthy Feet","Original","Tube",NA,NA,4399.29,321
"The Gorilla Glue Company LLC","OKeeffes",2024-12-01,"AMAZON CA","Foot Cream","Healthy Feet","Night Treatment","Tube",NA,NA,3749.68,260
"The Gorilla Glue Company LLC","OKeeffes",2025-03-16,"ACE HARDWARE","Body Cream","Skin Repair","Original","Tube",NA,NA,215.88,25
"The Gorilla Glue Company LLC","OKeeffes",2025-03-16,"ACE HARDWARE","Hand Cream","Working Hands","Original","Mixed Pack",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-05-11,"ACE HARDWARE","Multiple","Product","Combo","Mixed Pack",NA,NA,16.99,1
"The Gorilla Glue Company LLC","OKeeffes",2025-06-01,"ACE HARDWARE","Lip Balm","Lip Repair","SPF","Stick",NA,NA,1356.52,196
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Multiple","Product","Combo","Mixed Pack",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Body Cream","Skin Repair","Original","Pump",NA,NA,925.09,37
"The Gorilla Glue Company LLC","OKeeffes",2024-07-14,"AMAZON CA","Hand Cream","Working Hands","Combo","Tube",NA,NA,63.92,8
"The Gorilla Glue Company LLC","OKeeffes",2025-05-18,"ACE HARDWARE","Body Cream","Skin Repair","Original","Pump",NA,NA,229.06,13
"The Gorilla Glue Company LLC","OKeeffes",2024-11-24,"CANADIAN TIRE","Hand Cream","Working Hands","Night Treatment","Tube",NA,NA,543.22,52
"The Gorilla Glue Company LLC","OKeeffes",2024-12-08,"CANADIAN TIRE","Hand Cream","Working Hands","Original","Jar",NA,NA,26321.64,2186
"The Gorilla Glue Company LLC","OKeeffes",2024-12-29,"CANADIAN TIRE","Hand Cream","Working Hands","Night Treatment","Tube",NA,NA,506.56,47
"The Gorilla Glue Company LLC","OKeeffes",2025-03-02,"CANADIAN TIRE","Multiple","Product","Combo","Tube",NA,NA,NA,0
"The Gorilla Glue Company LLC","OKeeffes",2024-11-10,"AMAZON US","Body Cream","Skin Repair","Original","Tube",NA,NA,2444.01,180
"The Gorilla Glue Company LLC","OKeeffes",2024-11-24,"AMAZON US","Hand Cream","Product","Combo","Tube",NA,NA,9638.86,522
"The Gorilla Glue Company LLC","OKeeffes",2024-12-01,"AMAZON US","Hand Cream","Working Hands","Intense Renewal","Tube",NA,NA,8112.03,688
"The Gorilla Glue Company LLC","OKeeffes",2024-11-24,"AMAZON US","Foot Cream","Healthy Feet","Night Treatment","Tube",NA,NA,17407.59,926
"The Gorilla Glue Company LLC","OKeeffes",2024-12-22,"AMAZON US","Hand Cream","Working Hands","Combo","Tube",NA,NA,23195.83,683
"The Gorilla Glue Company LLC","OKeeffes",2024-12-01,"AMAZON US","Lip Balm","Lip Repair","SPF","Stick",NA,NA,29705.85,1964
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"AMAZON US","Foot Mask","Healthy Feet","Sock","Pouch",NA,NA,2962.84,135
"The Gorilla Glue Company LLC","OKeeffes",2024-07-21,"ACE HARDWARE","Multiple","Product","Combo","Mixed Pack",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-07-28,"ACE HARDWARE","Hand Cream","Working Hands","Night Treatment","Tube",NA,NA,116.18,10
"The Gorilla Glue Company LLC","OKeeffes",2024-10-13,"ACE HARDWARE","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,34.98,2
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"ACE HARDWARE","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,13.9,1
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"ACE HARDWARE","Body Cream","Skin Repair","Original","Pump",NA,NA,881.14,53
"The Gorilla Glue Company LLC","OKeeffes",2025-01-05,"ACE HARDWARE","Hand Soap","Working Hands","Orange","Pump",NA,NA,115.92,18
"The Gorilla Glue Company LLC","OKeeffes",2024-12-29,"ACE HARDWARE","Foot Cream","Healthy Feet","Original","Tube",NA,NA,6575.09,587
"The Gorilla Glue Company LLC","OKeeffes",2024-12-22,"ACE HARDWARE","Lip Balm","Lip Repair","SPF","Stick",NA,NA,2569.49,391
"The Gorilla Glue Company LLC","OKeeffes",2024-09-15,"ACE HARDWARE","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,51.97,3
"The Gorilla Glue Company LLC","OKeeffes",2024-09-29,"ACE HARDWARE","Body Cream","Skin Repair","Original","Tube",NA,NA,171.37,20
"The Gorilla Glue Company LLC","OKeeffes",2024-10-06,"ACE HARDWARE","Multiple","Product","Combo","Mixed Pack",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-05-04,"CANADIAN TIRE","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,1454.18,182
"The Gorilla Glue Company LLC","OKeeffes",2025-05-25,"CANADIAN TIRE","Body Cream","Skin Repair","Original","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2025-06-15,"CANADIAN TIRE","Hand Cream","Working Hands","Night Treatment","Tube",NA,NA,24.19,2
"The Gorilla Glue Company LLC","OKeeffes",2024-08-11,"DOLLAR GENERAL","Foot Mask","Healthy Feet","Sock","Pouch",NA,NA,1325.1,245
